batch,time,o2,temperature,ph
B01,0,30,32,5.5
B01,8,30,32,5.5
B01,16,30,32,5.5
B01,24,30,32,5.5
B01,32,30,32,5.5
B01,40,30,32,5.5
B01,48,35,28,6
B01,56,35,28,6
B01,64,35,28,6
B01,72,35,28,6
B01,80,35,28,6
B01,88,35,28,6
B01,96,25,28,6
B01,104,25,28,6
B01,112,25,28,6
B01,120,25,28,6
B01,128,25,28,6
B01,136,25,28,6
B01,144,25,30,6.5
B01,152,25,30,6.5
B01,160,25,30,6.5
B01,168,25,30,6.5
B02,0,30,28,6
B02,8,30,28,6
B02,16,30,28,6
B02,24,30,28,6
B02,32,30,28,6
B02,40,30,28,6
B02,48,35,30,6.5
B02,56,35,30,6.5
B02,64,35,30,6.5
B02,72,35,30,6.5
B02,80,35,30,6.5
B02,88,35,30,6.5
B02,96,25,32,5.5
B02,104,25,32,5.5
B02,112,25,32,5.5
B02,120,25,32,5.5
B02,128,25,32,5.5
B02,136,25,32,5.5
B02,144,35,30,6
B02,152,35,30,6
B02,160,35,30,6
B02,168,35,30,6
B03,0,30,28,5.5
B03,8,30,28,5.5
B03,16,30,28,5.5
B03,24,30,28,5.5
B03,32,30,28,5.5
B03,40,30,28,5.5
B03,48,35,28,6
B03,56,35,28,6
B03,64,35,28,6
B03,72,35,28,6
B03,80,35,28,6
B03,88,35,28,6
B03,96,35,32,6.5
B03,104,35,32,6.5
B03,112,35,32,6.5
B03,120,35,32,6.5
B03,128,35,32,6.5
B03,136,35,32,6.5
B03,144,25,30,6
B03,152,25,30,6
B03,160,25,30,6
B03,168,25,30,6
B04,0,25,32,6.5
B04,8,25,32,6.5
B04,16,25,32,6.5
B04,24,25,32,6.5
B04,32,25,32,6.5
B04,40,25,32,6.5
B04,48,25,30,5.5
B04,56,25,30,5.5
B04,64,25,30,5.5
B04,72,25,30,5.5
B04,80,25,30,5.5
B04,88,25,30,5.5
B04,96,35,28,6
B04,104,35,28,6
B04,112,35,28,6
B04,120,35,28,6
B04,128,35,28,6
B04,136,35,28,6
B04,144,30,32,5.5
B04,152,30,32,5.5
B04,160,30,32,5.5
B04,168,30,32,5.5
B05,0,30,30,5.5
B05,8,30,30,5.5
B05,16,30,30,5.5
B05,24,30,30,5.5
B05,32,30,30,5.5
B05,40,30,30,5.5
B05,48,35,28,5.5
B05,56,35,28,5.5
B05,64,35,28,5.5
B05,72,35,28,5.5
B05,80,35,28,5.5
B05,88,35,28,5.5
B05,96,25,30,6
B05,104,25,30,6
B05,112,25,30,6
B05,120,25,30,6
B05,128,25,30,6
B05,136,25,30,6
B05,144,30,32,6.5
B05,152,30,32,6.5
B05,160,30,32,6.5
B05,168,30,32,6.5
B06,0,25,30,6
B06,8,25,30,6
B06,16,25,30,6
B06,24,25,30,6
B06,32,25,30,6
B06,40,25,30,6
B06,48,30,32,6
B06,56,30,32,6
B06,64,30,32,6
B06,72,30,32,6
B06,80,30,32,6
B06,88,30,32,6
B06,96,30,28,6.5
B06,104,30,28,6.5
B06,112,30,28,6.5
B06,120,30,28,6.5
B06,128,30,28,6.5
B06,136,30,28,6.5
B06,144,35,28,5.5
B06,152,35,28,5.5
B06,160,35,28,5.5
B06,168,35,28,5.5
B07,0,35,28,6.5
B07,8,35,28,6.5
B07,16,35,28,6.5
B07,24,35,28,6.5
B07,32,35,28,6.5
B07,40,35,28,6.5
B07,48,30,32,6
B07,56,30,32,6
B07,64,30,32,6
B07,72,30,32,6
B07,80,30,32,6
B07,88,30,32,6
B07,96,25,30,5.5
B07,104,25,30,5.5
B07,112,25,30,5.5
B07,120,25,30,5.5
B07,128,25,30,5.5
B07,136,25,30,5.5
B07,144,35,32,6.5
B07,152,35,32,6.5
B07,160,35,32,6.5
B07,168,35,32,6.5
B08,0,35,28,6
B08,8,35,28,6
B08,16,35,28,6
B08,24,35,28,6
B08,32,35,28,6
B08,40,35,28,6
B08,48,25,30,5.5
B08,56,25,30,5.5
B08,64,25,30,5.5
B08,72,25,30,5.5
B08,80,25,30,5.5
B08,88,25,30,5.5
B08,96,35,30,6
B08,104,35,30,6
B08,112,35,30,6
B08,120,35,30,6
B08,128,35,30,6
B08,136,35,30,6
B08,144,30,32,6.5
B08,152,30,32,6.5
B08,160,30,32,6.5
B08,168,30,32,6.5
B09,0,35,28,6.5
B09,8,35,28,6.5
B09,16,35,28,6.5
B09,24,35,28,6.5
B09,32,35,28,6.5
B09,40,35,28,6.5
B09,48,25,30,6.5
B09,56,25,30,6.5
B09,64,25,30,6.5
B09,72,25,30,6.5
B09,80,25,30,6.5
B09,88,25,30,6.5
B09,96,25,28,6
B09,104,25,28,6
B09,112,25,28,6
B09,120,25,28,6
B09,128,25,28,6
B09,136,25,28,6
B09,144,30,32,5.5
B09,152,30,32,5.5
B09,160,30,32,5.5
B09,168,30,32,5.5
B10,0,35,30,6.5
B10,8,35,30,6.5
B10,16,35,30,6.5
B10,24,35,30,6.5
B10,32,35,30,6.5
B10,40,35,30,6.5
B10,48,25,28,6
B10,56,25,28,6
B10,64,25,28,6
B10,72,25,28,6
B10,80,25,28,6
B10,88,25,28,6
B10,96,30,32,5.5
B10,104,30,32,5.5
B10,112,30,32,5.5
B10,120,30,32,5.5
B10,128,30,32,5.5
B10,136,30,32,5.5
B10,144,25,32,5.5
B10,152,25,32,5.5
B10,160,25,32,5.5
B10,168,25,32,5.5
N01,0,25,30,6
N01,8,25,30,6
N01,16,25,30,6
N01,24,25,30,6
N01,32,25,30,6
N01,40,25,30,6
N01,48,35,32,6.5
N01,56,35,32,6.5
N01,64,35,32,6.5
N01,72,35,32,6.5
N01,80,35,32,6.5
N01,88,35,32,6.5
N01,96,30,32,6.5
N01,104,30,32,6.5
N01,112,30,32,6.5
N01,120,30,32,6.5
N01,128,30,32,6.5
N01,136,30,32,6.5
N01,144,25,28,5.5
N01,152,25,28,5.5
N01,160,25,28,5.5
N01,168,25,28,5.5